Cycle     | A| B| C| D| E| F| G| H|IN|OT|CNZ| SP | PC |
0000000000| 0  0  0  0  0  0  0  0| 0  0|000|0000 0002|
0000000001| 0  1  0  0  0  0  0  0| 0  0|000|0000 0004|
0000000002| 1  1  0  0  0  0  0  0| 0  0|000|0000 0005|
0000000003| 1  1  0  0  0  0  0  0| 0  1|000|0000 0006|
0000000006| 2  1  0  0  0  0  0  0| 0  1|000|0000 0005|
0000000007| 2  1  0  0  0  0  0  0| 0  2|000|0000 0006|
0000000010| 3  1  0  0  0  0  0  0| 0  2|000|0000 0005|
0000000011| 3  1  0  0  0  0  0  0| 0  3|000|0000 0006|
0000000014| 4  1  0  0  0  0  0  0| 0  3|000|0000 0005|
0000000015| 4  1  0  0  0  0  0  0| 0  4|000|0000 0006|
0000000018| 5  1  0  0  0  0  0  0| 0  4|000|0000 0005|
0000000019| 5  1  0  0  0  0  0  0| 0  5|000|0000 0006|
0000000022| 6  1  0  0  0  0  0  0| 0  5|000|0000 0005|
0000000023| 6  1  0  0  0  0  0  0| 0  6|000|0000 0006|
0000000026| 7  1  0  0  0  0  0  0| 0  6|000|0000 0005|
0000000027| 7  1  0  0  0  0  0  0| 0  7|000|0000 0006|
0000000030| 8  1  0  0  0  0  0  0| 0  7|000|0000 0005|
0000000031| 8  1  0  0  0  0  0  0| 0  8|000|0000 0006|
0000000034| 9  1  0  0  0  0  0  0| 0  8|000|0000 0005|
0000000035| 9  1  0  0  0  0  0  0| 0  9|000|0000 0006|
0000000038| a  1  0  0  0  0  0  0| 0  9|000|0000 0005|
0000000039| a  1  0  0  0  0  0  0| 0  a|000|0000 0006|
0000000042| b  1  0  0  0  0  0  0| 0  a|000|0000 0005|
0000000043| b  1  0  0  0  0  0  0| 0  b|000|0000 0006|
0000000046| c  1  0  0  0  0  0  0| 0  b|000|0000 0005|
0000000047| c  1  0  0  0  0  0  0| 0  c|000|0000 0006|
0000000050| d  1  0  0  0  0  0  0| 0  c|000|0000 0005|
0000000051| d  1  0  0  0  0  0  0| 0  d|000|0000 0006|
0000000054| e  1  0  0  0  0  0  0| 0  d|000|0000 0005|
0000000055| e  1  0  0  0  0  0  0| 0  e|000|0000 0006|
0000000058| f  1  0  0  0  0  0  0| 0  e|000|0000 0005|
0000000059| f  1  0  0  0  0  0  0| 0  f|000|0000 0006|
0000000062|10  1  0  0  0  0  0  0| 0  f|000|0000 0005|
0000000063|10  1  0  0  0  0  0  0| 0 10|000|0000 0006|
0000000066|11  1  0  0  0  0  0  0| 0 10|000|0000 0005|
0000000067|11  1  0  0  0  0  0  0| 0 11|000|0000 0006|
0000000070|12  1  0  0  0  0  0  0| 0 11|000|0000 0005|
0000000071|12  1  0  0  0  0  0  0| 0 12|000|0000 0006|
0000000074|13  1  0  0  0  0  0  0| 0 12|000|0000 0005|
0000000075|13  1  0  0  0  0  0  0| 0 13|000|0000 0006|
0000000078|14  1  0  0  0  0  0  0| 0 13|000|0000 0005|
0000000079|14  1  0  0  0  0  0  0| 0 14|000|0000 0006|
0000000082|15  1  0  0  0  0  0  0| 0 14|000|0000 0005|
0000000083|15  1  0  0  0  0  0  0| 0 15|000|0000 0006|
0000000086|16  1  0  0  0  0  0  0| 0 15|000|0000 0005|
0000000087|16  1  0  0  0  0  0  0| 0 16|000|0000 0006|
0000000090|17  1  0  0  0  0  0  0| 0 16|000|0000 0005|
0000000091|17  1  0  0  0  0  0  0| 0 17|000|0000 0006|
0000000094|18  1  0  0  0  0  0  0| 0 17|000|0000 0005|
0000000095|18  1  0  0  0  0  0  0| 0 18|000|0000 0006|
0000000098|19  1  0  0  0  0  0  0| 0 18|000|0000 0005|
0000000099|19  1  0  0  0  0  0  0| 0 19|000|0000 0006|
0000000102|1a  1  0  0  0  0  0  0| 0 19|000|0000 0005|
0000000103|1a  1  0  0  0  0  0  0| 0 1a|000|0000 0006|
0000000106|1b  1  0  0  0  0  0  0| 0 1a|000|0000 0005|
0000000107|1b  1  0  0  0  0  0  0| 0 1b|000|0000 0006|
0000000110|1c  1  0  0  0  0  0  0| 0 1b|000|0000 0005|
0000000111|1c  1  0  0  0  0  0  0| 0 1c|000|0000 0006|
0000000114|1d  1  0  0  0  0  0  0| 0 1c|000|0000 0005|
0000000115|1d  1  0  0  0  0  0  0| 0 1d|000|0000 0006|
0000000118|1e  1  0  0  0  0  0  0| 0 1d|000|0000 0005|
0000000119|1e  1  0  0  0  0  0  0| 0 1e|000|0000 0006|
0000000122|1f  1  0  0  0  0  0  0| 0 1e|000|0000 0005|
0000000123|1f  1  0  0  0  0  0  0| 0 1f|000|0000 0006|
0000000126|20  1  0  0  0  0  0  0| 0 1f|000|0000 0005|
0000000127|20  1  0  0  0  0  0  0| 0 20|000|0000 0006|
0000000130|21  1  0  0  0  0  0  0| 0 20|000|0000 0005|
0000000131|21  1  0  0  0  0  0  0| 0 21|000|0000 0006|
0000000134|22  1  0  0  0  0  0  0| 0 21|000|0000 0005|
0000000135|22  1  0  0  0  0  0  0| 0 22|000|0000 0006|
0000000138|23  1  0  0  0  0  0  0| 0 22|000|0000 0005|
0000000139|23  1  0  0  0  0  0  0| 0 23|000|0000 0006|
0000000142|24  1  0  0  0  0  0  0| 0 23|000|0000 0005|
0000000143|24  1  0  0  0  0  0  0| 0 24|000|0000 0006|
0000000146|25  1  0  0  0  0  0  0| 0 24|000|0000 0005|
0000000147|25  1  0  0  0  0  0  0| 0 25|000|0000 0006|
0000000150|26  1  0  0  0  0  0  0| 0 25|000|0000 0005|
0000000151|26  1  0  0  0  0  0  0| 0 26|000|0000 0006|
0000000154|27  1  0  0  0  0  0  0| 0 26|000|0000 0005|
0000000155|27  1  0  0  0  0  0  0| 0 27|000|0000 0006|
0000000158|28  1  0  0  0  0  0  0| 0 27|000|0000 0005|
0000000159|28  1  0  0  0  0  0  0| 0 28|000|0000 0006|
0000000162|29  1  0  0  0  0  0  0| 0 28|000|0000 0005|
0000000163|29  1  0  0  0  0  0  0| 0 29|000|0000 0006|
